Spectra of the displacement (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  9.2128327e-01 -1.4908568e-07 -2.0095754e-07  2.5022085e-07
  9.2943622e-01 -2.2416793e-07 -1.7238546e-07  2.8278615e-07
  9.3758917e-01 -2.8050110e-07 -4.7030088e-08  2.8441641e-07
  9.4574212e-01 -2.4398949e-07  5.0112734e-08  2.4908263e-07
  9.5389507e-01 -1.7135907e-07  2.3527962e-08  1.7296675e-07
  9.6204802e-01 -1.1666516e-07  1.3980314e-08  1.1749982e-07
  9.7020097e-01 -1.8251789e-07 -1.2788544e-07  2.2286199e-07
  9.7835392e-01 -3.1737840e-07 -2.0595522e-07  3.7834720e-07
  9.8650687e-01 -5.3419068e-07 -9.1441617e-09  5.3426894e-07
  9.9465982e-01 -6.2498335e-07  1.1734150e-07  6.3590346e-07
  1.0028128e+00 -5.7662489e-07  4.5318261e-07  7.3339671e-07
  1.0109657e+00 -4.1308833e-07  6.3104786e-07  7.5423031e-07
  1.0191187e+00 -1.3714901e-07  6.9200261e-07  7.0546258e-07
  1.0272716e+00  1.0907406e-08  6.3450979e-07  6.3460353e-07
  1.0354246e+00  9.8721812e-08  6.3525831e-07  6.4288344e-07
  1.0435775e+00  1.7505887e-07  6.1129877e-07  6.3587090e-07
  1.0517305e+00  3.1699817e-07  5.7661185e-07  6.5800385e-07
  1.0598834e+00  3.1914532e-07  5.8636556e-07  6.6759143e-07
  1.0680364e+00  4.3898872e-07  5.9825539e-07  7.4203815e-07
  1.0761893e+00  7.3397865e-07  6.0055318e-07  9.4836111e-07
  1.0843423e+00  1.0649090e-06  3.2862554e-07  1.1144622e-06
  1.0924952e+00  1.1644965e-06 -1.2277175e-07  1.1709505e-06
  1.1006482e+00  1.0527626e-06 -4.2605912e-07  1.1357092e-06
  1.1088011e+00  8.6694310e-07 -7.2935203e-07  1.1329363e-06
  1.1169541e+00  6.9200314e-07 -9.0591583e-07  1.1399789e-06
  1.1251070e+00  5.0707158e-07 -1.0954540e-06  1.2071210e-06
  1.1332600e+00  7.4875730e-08 -1.1536409e-06  1.1560682e-06
  1.1414129e+00 -1.2390829e-07 -1.0666065e-06  1.0737796e-06
  1.1495659e+00 -3.7420645e-07 -9.0244156e-07  9.7694997e-07
  1.1577188e+00 -4.9316640e-07 -7.7825012e-07  9.2135029e-07
  1.1658718e+00 -5.8028108e-07 -7.2227607e-07  9.2650356e-07
  1.1740247e+00 -7.7386299e-07 -6.3174852e-07  9.9898455e-07
  1.1821777e+00 -9.4108945e-07 -5.8928380e-07  1.1103624e-06
  1.1903306e+00 -1.1748220e-06 -2.7962375e-07  1.2076407e-06
  1.1984836e+00 -1.3145075e-06  1.6552175e-07  1.3248877e-06
  1.2066365e+00 -1.0831828e-06  4.9673975e-07  1.1916524e-06
  1.2147895e+00 -8.0327236e-07  7.8149822e-07  1.1207078e-06
  1.2229424e+00 -5.1894736e-07  8.8894182e-07  1.0293318e-06
  1.2310953e+00 -2.1255818e-07  9.2795487e-07  9.5198804e-07
  1.2392483e+00  2.0907763e-08  7.7193053e-07  7.7221362e-07
  1.2474012e+00  1.4404547e-07  6.3665014e-07  6.5274229e-07
  1.2555542e+00  2.1841262e-07  6.0830915e-07  6.4633126e-07
  1.2637071e+00  2.3923338e-07  5.0180110e-07  5.5591092e-07
  1.2718601e+00  2.6995176e-07  5.0794307e-07  5.7522179e-07
  1.2800130e+00  3.6220099e-07  3.4304923e-07  4.9887105e-07
  1.2881660e+00  4.7105220e-07  2.7541506e-07  5.4565889e-07
  1.2963189e+00  4.9524532e-07  1.8025848e-07  5.2703041e-07
  1.3044719e+00  3.0099090e-07 -2.8831897e-08  3.0236865e-07
  1.3126248e+00  3.3492463e-07  3.4294879e-09  3.3494219e-07
  1.3207778e+00  2.5683816e-07 -1.2185899e-08  2.5712708e-07
  1.3289307e+00  1.7322240e-07  8.5296848e-08  1.9308431e-07
  1.3370837e+00  2.1669115e-07  1.3110110e-07  2.5326380e-07
  1.3452366e+00  2.1761026e-07  1.7494906e-07  2.7921569e-07
  1.3533896e+00  3.6782543e-07  2.7502544e-07  4.5927610e-07
  1.3615425e+00  6.4321604e-07  3.5503015e-07  7.3469265e-07
  1.3696955e+00  9.5657976e-07  9.4427232e-09  9.5662636e-07
  1.3778484e+00  8.8390531e-07 -4.2744946e-07  9.8183585e-07
  1.3860014e+00  8.7395460e-07 -8.3975493e-07  1.2120169e-06
  1.3941543e+00  5.2621878e-07 -1.0705408e-06  1.1928805e-06
  1.4023073e+00  1.4611369e-07 -1.3207795e-06  1.3288370e-06
  1.4104602e+00 -1.2875904e-07 -1.3643994e-06  1.3704615e-06
  1.4186132e+00 -4.6942863e-07 -1.3086652e-06  1.3903121e-06
  1.4267661e+00 -8.3019691e-07 -1.1125518e-06  1.3881637e-06
  1.4349191e+00 -1.0595299e-06 -9.6470139e-07  1.4329174e-06
  1.4430720e+00 -1.3255448e-06 -6.4975797e-07  1.4762298e-06
  1.4512250e+00 -1.4403630e-06 -2.0062568e-07  1.4542683e-06
  1.4593779e+00 -1.2838373e-06  1.3311714e-07  1.2907201e-06
  1.4675309e+00 -1.3242185e-06  5.4930261e-07  1.4336276e-06
  1.4756838e+00 -1.0829523e-06  8.8677323e-07  1.3996973e-06
  1.4838368e+00 -5.4395291e-07  1.1723168e-06  1.2923666e-06
  1.4919897e+00 -3.0970695e-07  1.0490823e-06  1.0938428e-06
  1.5001427e+00 -2.1682599e-08  8.4642577e-07  8.4670345e-07
  1.5082956e+00 -6.8580107e-08  6.4420982e-07  6.4784993e-07
  1.5164486e+00 -1.3409689e-07  8.0641883e-07  8.1749209e-07
  1.5246015e+00 -3.1025722e-09  9.2027028e-07  9.2027551e-07
  1.5327545e+00  9.1343397e-08  1.1238379e-06  1.1275439e-06
  1.5409074e+00  5.2261478e-07  1.0776213e-06  1.1976618e-06
  1.5490604e+00  7.7891954e-07  9.5006343e-07  1.2285504e-06
  1.5572133e+00  1.0239231e-06  8.0569090e-07  1.3029031e-06
  1.5653663e+00  1.3038196e-06  4.9666942e-07  1.3952154e-06
  1.5735192e+00  1.2803166e-06  8.3412153e-08  1.2830309e-06
  1.5816722e+00  1.2268964e-06 -1.0576825e-07  1.2314470e-06
  1.5898251e+00  1.2534493e-06 -3.0789445e-07  1.2907107e-06
  1.5979781e+00  1.0610959e-06 -6.8076959e-07  1.2607028e-06
  1.6061310e+00  9.8617930e-07 -8.3062550e-07  1.2893752e-06
  1.6142840e+00  8.6189676e-07 -1.2027776e-06  1.4797094e-06
  1.6224369e+00  3.6540976e-07 -1.3248026e-06  1.3742730e-06
  1.6305899e+00  1.0174373e-07 -1.2047185e-06  1.2090072e-06
  1.6387428e+00 -2.7332672e-07 -1.0829619e-06  1.1169217e-06
  1.6468958e+00 -1.8992782e-07 -1.0142515e-06  1.0318812e-06
  1.6550487e+00 -2.9628896e-07 -8.8456997e-07  9.3287254e-07
  1.6632017e+00 -5.2965330e-07 -1.0114101e-06  1.1417018e-06
  1.6713546e+00 -5.2645369e-07 -8.4346894e-07  9.9428031e-07
  1.6795076e+00 -7.8210139e-07 -7.7324336e-07  1.0998127e-06
  1.6876605e+00 -9.3451747e-07 -5.7167708e-07  1.0955079e-06
  1.6958135e+00 -8.9981823e-07 -3.8758123e-07  9.7974081e-07
  1.7039664e+00 -1.1739970e-06 -4.4471949e-07  1.2554061e-06
  1.7121194e+00 -1.4473199e-06 -1.6399207e-07  1.4565810e-06
  1.7202723e+00 -1.5889002e-06  4.1808208e-07  1.6429840e-06
  1.7284253e+00 -1.6819613e-06  1.1068004e-06  2.0134550e-06
  1.7365782e+00 -1.2355877e-06  1.4835429e-06  1.9306932e-06
  1.7447312e+00 -5.9621946e-07  1.9309982e-06  2.0209482e-06
  1.7528841e+00 -2.3993991e-07  1.8187221e-06  1.8344812e-06
  1.7610371e+00  3.0782520e-07  1.7493895e-06  1.7762657e-06
  1.7691900e+00  6.9861422e-07  1.3263602e-06  1.4990974e-06
  1.7773430e+00  8.3689786e-07  9.4437970e-07  1.2618443e-06
  1.7854959e+00  7.8775434e-07  7.5992390e-07  1.0945507e-06
  1.7936489e+00  7.9603751e-07  6.7579504e-07  1.0442101e-06
  1.8018018e+00  9.3946522e-07  4.2215273e-07  1.0299553e-06
  1.8099548e+00  1.0059475e-06  3.8862162e-07  1.0784049e-06
  1.8181077e+00  1.2072164e-06  1.2576929e-07  1.2137501e-06
  1.8262606e+00  9.7860177e-07 -4.5143391e-09  9.7861218e-07
  1.8344136e+00  9.4694510e-07 -3.0154511e-07  9.9379801e-07
  1.8425665e+00  9.0523945e-07 -2.9601140e-07  9.5240811e-07
  1.8507195e+00  9.0574061e-07 -9.6515102e-08  9.1086838e-07
  1.8588724e+00  1.1820404e-06 -5.2184601e-07  1.2921079e-06
  1.8670254e+00  1.0705542e-06 -1.0015136e-06  1.4659863e-06
  1.8751783e+00  8.4001879e-07 -1.4216568e-06  1.6512842e-06
  1.8833313e+00  3.9988622e-07 -1.4737726e-06  1.5270608e-06
  1.8914842e+00  5.2142959e-08 -1.3662330e-06  1.3672277e-06
  1.8996372e+00  6.5190121e-10 -1.2467453e-06  1.2467455e-06
  1.9077901e+00 -1.4292797e-07 -1.4844911e-06  1.4913558e-06
  1.9159431e+00 -5.2650758e-07 -1.5573232e-06  1.6439178e-06
  1.9240960e+00 -1.0167041e-06 -1.1776351e-06  1.5557993e-06
  1.9322490e+00 -1.3052193e-06 -9.7346197e-07  1.6282584e-06
  1.9404019e+00 -1.3510880e-06 -7.0506037e-07  1.5239911e-06
  1.9485549e+00 -1.4491629e-06 -3.3992432e-07  1.4884965e-06
  1.9567078e+00 -1.6136889e-06 -2.0591317e-07  1.6267735e-06
  1.9648608e+00 -1.7041101e-06  1.8686449e-08  1.7042126e-06
  1.9730137e+00 -1.9594067e-06  6.0777245e-07  2.0515024e-06
