Spectra of the velocity (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 3 
-------------------- 
f 	 Re 	 Im 	 Abs 
  1.5758426e+00  2.9792630e-06  1.4449177e-06  3.3111622e-06
  1.5840931e+00  2.1387912e-06  3.8045094e-07  2.1723652e-06
  1.5923436e+00  1.2641454e-06 -1.0536107e-07  1.2685285e-06
  1.6005940e+00  1.4902845e-06  1.3242801e-06  1.9936564e-06
  1.6088445e+00  2.2722837e-06  7.6526632e-07  2.3976876e-06
  1.6170950e+00  3.0594118e-06  4.9721541e-07  3.0995522e-06
  1.6253455e+00  2.9265376e-06 -1.0448985e-06  3.1074805e-06
  1.6335960e+00  2.8099559e-06 -2.3893437e-06  3.6884706e-06
  1.6418465e+00  7.7059268e-07 -3.1099313e-06  3.2039797e-06
  1.6500969e+00  2.6887754e-07 -2.5137932e-06  2.5281320e-06
  1.6583474e+00 -5.8636850e-07 -1.2191225e-06  1.3528073e-06
  1.6665979e+00  8.4170445e-08 -1.1668719e-06  1.1699038e-06
  1.6748484e+00 -1.8624582e-07 -8.2607717e-07  8.4681225e-07
  1.6830989e+00 -8.6870028e-07 -1.3586429e-06  1.6126223e-06
  1.6913494e+00 -1.4737697e-06 -6.6361135e-07  1.6162850e-06
  1.6995999e+00 -2.0264233e-06 -4.5561886e-07  2.0770123e-06
  1.7078503e+00 -1.4741325e-06  1.2636609e-06  1.9416245e-06
  1.7161008e+00 -1.1346289e-06  1.2599764e-06  1.6955599e-06
  1.7243513e+00 -7.4921520e-07  1.7025866e-06  1.8601410e-06
  1.7326018e+00 -1.3572309e-07  1.8074934e-06  1.8125819e-06
  1.7408523e+00 -2.5729748e-07  1.6584872e-06  1.6783271e-06
  1.7491028e+00  1.0176356e-06  2.0857287e-06  2.3207426e-06
  1.7573532e+00  1.5998335e-06  9.0746429e-07  1.8392821e-06
  1.7656037e+00  2.0925942e-06  1.8806219e-07  2.1010278e-06
  1.7738542e+00  7.9394378e-07 -1.1054124e-06  1.3609862e-06
  1.7821047e+00  3.9515600e-08 -6.9656279e-07  6.9768274e-07
  1.7903552e+00 -8.3967667e-07  6.3070086e-07  1.0501621e-06
  1.7986057e+00  1.3848580e-07  1.1633605e-06  1.1715741e-06
  1.8068562e+00  2.9546409e-07  1.4744821e-06  1.5037941e-06
  1.8151066e+00  1.6209658e-06  7.2482718e-07  1.7756420e-06
  1.8233571e+00  1.7760977e-06 -7.0440666e-08  1.7774940e-06
  1.8316076e+00  1.3815491e-06 -7.8051078e-07  1.5867813e-06
  1.8398581e+00  1.3529944e-06 -6.9965906e-07  1.5231929e-06
  1.8481086e+00  1.0605008e-06 -1.6339770e-06  1.9479586e-06
  1.8563591e+00  4.7086008e-07 -2.2283094e-06  2.2775144e-06
  1.8646095e+00 -7.6703414e-07 -2.4874141e-06  2.6029926e-06
  1.8728600e+00 -1.4622764e-06 -1.8035999e-06  2.3219011e-06
  1.8811105e+00 -8.1716676e-07 -3.2388609e-07  8.7901292e-07
  1.8893610e+00  2.7500660e-07 -4.6682952e-07  5.4181032e-07
