Spectra of the acceleration (only positive half of the frequency range, not doubled in amplitude) 
Units as in the International System of Units (Hz, m, m/s, m/s^2) 
Time = 2012_11_12_11_15_04 - R= 0.63765 - M= 1.8 - Station =  INSH  - Channel = 1 
-------------------- 
f 	 Re 	 Im 	 Abs 
  1.6958135e+00  1.0215760e-04  4.4002629e-05  1.1123132e-04
  1.7039664e+00  1.3457016e-04  5.0976258e-05  1.4390173e-04
  1.7121194e+00  1.6749133e-04  1.8978010e-05  1.6856308e-04
  1.7202723e+00  1.8563111e-04 -4.8844502e-05  1.9194971e-04
  1.7284253e+00  1.9837043e-04 -1.3053599e-04  2.3746678e-04
  1.7365782e+00  1.4710316e-04 -1.7662352e-04  2.2985910e-04
  1.7447312e+00  7.1651109e-05 -2.3205912e-04  2.4286893e-04
  1.7528841e+00  2.9105069e-05 -2.2061370e-04  2.2252530e-04
  1.7610371e+00 -3.7687810e-05 -2.1418213e-04  2.1747266e-04
  1.7691900e+00 -8.6326894e-05 -1.6389668e-04  1.8524161e-04
  1.7773430e+00 -1.0436976e-04 -1.1777384e-04  1.5736494e-04
  1.7854959e+00 -9.9144415e-05 -9.5641760e-05  1.3775689e-04
  1.7936489e+00 -1.0110395e-04 -8.5832070e-05  1.3262410e-04
  1.8018018e+00 -1.2040776e-04 -5.4105744e-05  1.3200553e-04
  1.8099548e+00 -1.3009796e-04 -5.0259960e-05  1.3946879e-04
  1.8181077e+00 -1.5753755e-04 -1.6412455e-05  1.5839017e-04
  1.8262606e+00 -1.2885203e-04  5.9440088e-07  1.2885340e-04
  1.8344136e+00 -1.2579954e-04  4.0059595e-05  1.3202385e-04
  1.8425665e+00 -1.2133038e-04  3.9674781e-05  1.2765246e-04
  1.8507195e+00 -1.2247425e-04  1.3050772e-05  1.2316762e-04
  1.8588724e+00 -1.6124685e-04  7.1187097e-05  1.7626160e-04
  1.8670254e+00 -1.4732242e-04  1.3782153e-04  2.0173911e-04
  1.8751783e+00 -1.1660949e-04  1.9735115e-04  2.2922751e-04
  1.8833313e+00 -5.5995049e-05  2.0636862e-04  2.1383043e-04
  1.8914842e+00 -7.3647985e-06  1.9297008e-04  1.9311057e-04
  1.8996372e+00 -9.2871585e-08  1.7761466e-04  1.7761469e-04
  1.9077901e+00  2.0537055e-05  2.1330377e-04  2.1429015e-04
  1.9159431e+00  7.6300885e-05  2.2568552e-04  2.3823471e-04
  1.9240960e+00  1.4859623e-04  1.7211708e-04  2.2738762e-04
  1.9322490e+00  1.9238420e-04  1.4348447e-04  2.3999890e-04
  1.9404019e+00  2.0082915e-04  1.0480197e-04  2.2652991e-04
  1.9485549e+00  2.1722121e-04  5.0952707e-05  2.2311709e-04
  1.9567078e+00  2.4391107e-04  3.1124031e-05  2.4588883e-04
  1.9648608e+00  2.5972931e-04 -2.8480662e-06  2.5974493e-04
  1.9730137e+00  3.0112343e-04 -9.3403030e-05  3.1527677e-04
  1.9811667e+00  2.6348521e-04 -1.8023764e-04  3.1923356e-04
  1.9893196e+00  1.4769222e-04 -2.6629650e-04  3.0451078e-04
  1.9974726e+00  1.1558299e-04 -2.7780910e-04  3.0089421e-04
  2.0056255e+00 -1.2264463e-05 -3.0736886e-04  3.0761345e-04
  2.0137785e+00 -8.9256218e-05 -2.7326536e-04  2.8747283e-04
  2.0219314e+00 -1.0071421e-04 -2.1568566e-04  2.3804129e-04
  2.0300844e+00 -1.1643377e-04 -1.4938771e-04  1.8940304e-04
  2.0382373e+00 -9.2871510e-05 -1.7379407e-04  1.9705201e-04
  2.0463903e+00 -1.1463986e-04 -1.6514027e-04  2.0103136e-04
  2.0545432e+00 -1.5107027e-04 -1.7773875e-04  2.3326656e-04
  2.0626962e+00 -1.8268780e-04 -1.8881256e-04  2.6272613e-04
  2.0708491e+00 -2.7608339e-04 -1.1238653e-04  2.9808182e-04
  2.0790021e+00 -3.7772161e-04 -1.2859158e-05  3.7794043e-04
  2.0871550e+00 -2.9491791e-04  1.4301726e-04  3.2776594e-04
  2.0953080e+00 -2.1860830e-04  2.1148843e-04  3.0416598e-04
  2.1034609e+00 -1.5574605e-04  1.6016310e-04  2.2340334e-04
  2.1116139e+00 -1.7305124e-04  1.8273210e-04  2.5166992e-04
  2.1197668e+00 -1.7231460e-04  2.3070234e-04  2.8795120e-04
  2.1279198e+00 -1.2820368e-04  3.0246652e-04  3.2851511e-04
  2.1360727e+00 -4.2227989e-05  3.3668565e-04  3.3932349e-04
  2.1442257e+00  2.8166319e-05  3.4737693e-04  3.4851697e-04
  2.1523786e+00  7.7860378e-05  2.9816221e-04  3.0816058e-04
